# R2 invariant corpus. Generated from audited invariant/smoke sources; target maps must join by id and grep strong_needle from this file.
# id	source	strong_needle	target_constraint	notes
SMOKE-SKILL-015	hooks/smoke-install.sh + hooks/smoke-install-codex.sh + 2026-07-02-invariant-check.sh:SKILL smoke	code-review ensemble	literal-smoke-target	class=SMOKE-CONTRACT; current_target=SKILL.md
SMOKE-REF-001	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	fixes the verified root cause	core-always-or-approved-target	class=CORE-ALWAYS; current_target=reference.md
SMOKE-REF-002	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	non-contradictory	core-always-or-approved-target	class=CORE-ALWAYS; current_target=reference.md
SMOKE-REF-003	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	no invented assumptions	core-always-or-approved-target	class=CORE-ALWAYS; current_target=reference.md
SMOKE-REF-004	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	does it address the cause, not the symptom	core-always-or-approved-target	class=CORE-ALWAYS; current_target=reference.md
SMOKE-REF-005	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	`kimiflow grill` — clarify/spec only, no code.	literal-smoke-target	class=SMOKE-CONTRACT+CORE-ALWAYS; current_target=reference.md
SMOKE-REF-006	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	`kimiflow plan` — clarify + understand + plan + plan-gate, then park/resume, no code.	literal-smoke-target	class=SMOKE-CONTRACT+CORE-ALWAYS+GATE-CHECKABLE; current_target=reference.md
SMOKE-REF-007	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	`kimiflow review` — read-only existing-feature/current-change review, no code.	literal-smoke-target	class=SMOKE-CONTRACT+CORE-ALWAYS; current_target=reference.md
SMOKE-REF-008	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	`kimiflow audit` — read-only cleanup/refactoring scan first, no code until a slice is approved.	literal-smoke-target	class=SMOKE-CONTRACT+CORE-ALWAYS; current_target=reference.md
SMOKE-REF-009	2026-07-02-token-restructuring-invariants.md smoke/reference clauses + 2026-07-02-invariant-check.sh:reference	CANDIDATE <SEVERITY> <ref> :: <claim> :: verify=<smallest check>	literal-smoke-target	class=SMOKE-CONTRACT; current_target=reference.md
